Community District,Sub-Boro-Name,Borough,FIPS,Unbanked-2011,Underbanked-2011,Unbanked 2010,Unbanked 2009,Underbanked 2010,Underbanked 2009,unbanked-2011-2011-ACS ,underbanked-2011-2011-ACS-only,Unbanked-2013,Underbanked-2013,Prepaid-2011-Old-Definition,Prepaid-2011-New-Definition,prepaid-2011-new-definition-2011-ACS-only,Prepaid-2013-New-Definition,foreign-born-2011,poor-2011,Median-Income-2011,unemployment-2011,2013-poverty,foreign-born-2013,median-income-2013 ,unemployment-2013,
New York City,New York City,New York City,1,0.1418108,0.2241056,13.42,0.1342,39.15136,0.3915136,0.1426993,0.2239995,0.1182375,0.2502902,0.1329139,0.1090581,0.1085226,0.1103216,0.37193844,0.1795642,49461,0.091,0.17458037,0.36958378,0,0.087,
The Bronx,The Bronx,The Bronx,2,0.2850799,0.2674847,28.65,0.2865,53.94,0.5394,0.284996,0.2684059,0.2211321,0.3016486,0.1570242,0.1272729,0.1260285,0.1246762,0.338,0.28068716,32058,0.124,0.27595245,0.33728545,33009,0.118,
Manhattan,Manhattan,Manhattan,3,0.107117,0.1726214,12.96,0.1296,21.73,0.2173,0.1082066,0.1739869,0.0880259,0.2142904,0.1137627,0.0953256,0.0957694,0.0993421,0.288,0.14857597,66299,0.075,0.14796382,0.28413827,72190,0.072,
Staten Island,Staten Island,Staten Island,4,0.0718073,0.1727958,1.8,0.018,19.67,0.1967,0.070317,0.1743221,0.073139,0.1846622,0.114485,0.0897529,0.0907077,0.1089167,0.209,0.08710671,70578,0.083,0.10315451,0.20444712,69633,0.078,
Brooklyn,Brooklyn,Brooklyn,5,0.1484624,0.2294881,15.68,0.1568,46.56,0.4656,0.1523867,0.2270606,0.1287922,0.2646083,0.1345183,0.108778,0.1083938,0.1131271,0.374,0.20406183,42752,0.098,0.19469902,0.37210747,47520,0.094,
Queens,Queens,Queens,6,0.0943366,0.2512815,6.19,0.0619,43.66,0.4366,0.0928419,0.2517313,0.0802754,0.2492653,0.1385336,0.1155111,0.1140868,0.1087009,0.485,0.1314255,53572,0.082,0.12261433,0.48119372,56599,0.078,
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",Riverdale / Kingsbridge,Bronx,3701,0.1373293,0.2198958,8.51,0.0851,36.34,0.3634,0.1359119,0.2232364,0.113463,0.2597897,0.1172342,0.0957327,0.0960411,0.1051812,0.31430361,0.1508636,55119,0.12311614,0.11668634,0.29495839,60614,0.118917,
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",Williamsbridge / Baychester,Bronx,3702,0.1939669,0.3208182,13.73,0.1373,71.66,0.7166,0.2001669,0.3222615,0.160229,0.3490875,0.1404802,0.1129306,0.1151904,0.1155571,0.39541837,0.17335867,43236,0.15970736,0.19363977,0.38877727,45633,0.14543027,
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",Throgs Neck / Co-op City,Bronx,3703,0.1208589,0.2356084,3.65,0.0365,45.98,0.4598,0.1116842,0.2541577,0.1065363,0.2632596,0.1155211,0.0914299,0.0891138,0.109781,0.1846264,0.10240027,53436,0.12190179,0.07939673,0.21922052,56059,0.08869767,
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",Pelham Parkway,Bronx,3704,0.1943076,0.2534277,6.95,0.0695,55.22,0.5522,0.2066724,0.2421072,0.1565606,0.2762847,0.1372296,0.1105838,0.103118,0.109183,0.33897206,0.18869875,40745,0.14714516,0.17168844,0.34505016,43075,0.13248869,
