STATEFP10,PUMACE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Subboro,Borough,FIPS,Unbanked20,Underbanke,PUMACODE,OID_,SubBoroNam,Borough_1,FIPS_1,Unbanked_1,Underban_1,PUMACODE_1
36,04006,3604006,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,G6120,S,       5758114,             0,+40.6749896,-073.9440010,North Crown Heights / Prospect Heights,Brooklyn,     4006.000000,        0.207324,        0.264656,04006,28,North Crown Heights / Prospect Heights,Brooklyn,     4006.000000,        0.205252,        0.266334,04006
36,04015,3604015,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,G6120,S,       7529562,             0,+40.6304007,-073.9591384,Flatbush,Brooklyn,     4015.000000,        0.120027,        0.235854,04015,37,Flatbush,Brooklyn,     4015.000000,        0.123145,        0.237752,04015
36,04011,3604011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",G6120,S,       4424284,             0,+40.6613595,-073.9478883,South Crown Heights,Brooklyn,     4011.000000,        0.193658,        0.304444,04011,33,South Crown Heights,Brooklyn,     4011.000000,        0.194285,        0.306350,04011
36,04001,3604001,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,G6120,S,      10636813,        420188,+40.7189325,-073.9476543,Williamsburg / Greenpoint,Brooklyn,     4001.000000,        0.122768,        0.151482,04001,23,Williamsburg / Greenpoint,Brooklyn,     4001.000000,        0.131574,        0.155791,04001
36,04007,3604007,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,G6120,S,       6707003,             0,+40.6682095,-073.9071920,Brownsville / Ocean Hill,Brooklyn,     4007.000000,        0.327196,        0.292025,04007,29,Brownsville / Ocean Hill,Brooklyn,     4007.000000,        0.324662,        0.292938,04007
36,04003,3604003,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,G6120,S,       5949105,             0,+40.6898697,-073.9410682,Bedford Stuyvesant,Brooklyn,     4003.000000,        0.251739,        0.274171,04003,25,Bedford Stuyvesant,Brooklyn,     4003.000000,        0.257368,        0.274017,04003
36,04010,3604010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",G6120,S,       7975708,             0,+40.6476772,-073.9343031,East Flatbush,Brooklyn,     4010.000000,        0.159896,        0.356319,04010,32,East Flatbush,Brooklyn,     4010.000000,        0.156633,        0.361206,04010
36,04002,3604002,NYC-Brooklyn Community District 4--Bushwick PUMA,G6120,S,       6554588,             0,+40.6969415,-073.9206521,Bushwick,Brooklyn,     4002.000000,        0.276304,        0.272699,04002,24,Bushwick,Brooklyn,     4002.000000,        0.276168,        0.276421,04002
36,04110,3604110,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",G6120,S,      18968735,         96254,+40.7107651,-073.8912074,Middle Village / Ridgewood,Queens,     4110.000000,        0.117041,        0.187656,04110,50,Middle Village / Ridgewood,Queens,     4110.000000,        0.113480,        0.189480,04110
36,04108,3604108,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,G6120,S,       7239647,             0,+40.7226643,-073.8517153,Forest Hills / Rego Park,Queens,     4108.000000,        0.037046,        0.174961,04108,48,Forest Hills / Rego Park,Queens,     4108.000000,        0.039855,        0.174976,04108
36,04109,3604109,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,G6120,S,      15462100,        459085,+40.7403915,-073.9206747,Sunnyside / Woodside,Queens,     4109.000000,        0.087624,        0.232309,04109,49,Sunnyside / Woodside,Queens,     4109.000000,        0.086580,        0.235529,04109
36,04107,3604107,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,G6120,S,       9430496,       1203841,+40.7419002,-073.8552625,Elmhurst / Corona,Queens,     4107.000000,        0.146811,        0.306915,04107,47,Elmhurst / Corona,Queens,     4107.000000,        0.141920,        0.309275,04107
36,04102,3604102,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,G6120,S,      10532892,       2453546,+40.7650278,-073.8752395,Jackson Heights,Queens,     4102.000000,        0.150677,        0.317792,04102,42,Jackson Heights,Queens,     4102.000000,        0.148713,        0.317142,04102
36,04101,3604101,NYC-Queens Community District 1--Astoria & Long Island City PUMA,G6120,S,      13228915,       1655745,+40.7710111,-073.9154006,Astoria,Queens,     4101.000000,        0.109421,        0.186903,04101,41,Astoria,Queens,     4101.000000,        0.109816,        0.187838,04101
36,04111,3604111,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,G6120,S,      12313235,             0,+40.6963669,-073.8416073,Kew Gardens / Woodhaven,Queens,     4111.000000,        0.100208,        0.270775,04111,51,Kew Gardens / Woodhaven,Queens,     4111.000000,        0.102926,        0.270170,04111
36,04106,3604106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",G6120,S,      19272306,             0,+40.7258607,-073.7962073,Hillcrest / Fresh Meadows,Queens,     4106.000000,        0.069458,        0.229278,04106,46,Hillcrest / Fresh Meadows,Queens,     4106.000000,        0.073879,        0.227876,04106
36,04112,3604112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",G6120,S,      23997782,        172037,+40.6909403,-073.7781370,Jamaica,Queens,     4112.000000,        0.128711,        0.360285,04112,52,Jamaica,Queens,     4112.000000,        0.138327,        0.358990,04112
36,04113,3604113,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,G6120,S,      15887350,       1222881,+40.6678115,-073.8342635,Howard Beach / S. Ozone Park,Queens,     4113.000000,        0.068133,        0.270061,04113,53,Howard Beach / S. Ozone Park,Queens,     4113.000000,        0.072037,        0.267427,04113
36,04105,3604105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",G6120,S,      50968518,       1386380,+40.7237454,-073.7328004,Bellerose / Rosedale,Queens,     4105.000000,        0.054028,        0.324012,04105,45,Bellerose / Rosedale,Queens,     4105.000000,        0.053745,        0.325503,04105
36,04104,3604104,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",G6120,S,      24122399,       1696542,+40.7562472,-073.7604777,Bayside / Little Neck,Queens,     4104.000000,        0.024781,        0.191027,04104,44,Bayside / Little Neck,Queens,     4104.000000,        0.024301,        0.191102,04104
36,04103,3604103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",G6120,S,      30451471,      11891326,+40.7776607,-073.8160885,Flushing / Whitestone,Queens,     4103.000000,        0.059963,        0.226815,04103,43,Flushing / Whitestone,Queens,     4103.000000,        0.058465,        0.226822,04103
36,04114,3604114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",G6120,S,      29299508,     158167428,+40.5618030,-073.8689366,Rockaways,Queens,     4114.000000,        0.172273,        0.235836,04114,54,Rockaways,Queens,     4114.000000,        0.172577,        0.234739,04114
