STATEFP10,PUMACE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Subboro,Borough,FIPS,Unbanked20,Underbanke,PUMACODE,OID_,SubBoroNam,Borough_1,FIPS_1,Unbanked_1,Underban_1,PUMACODE_1
36,03810,3603810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",G6120,S,       7679618,       7164083,+40.7116648,-074.0124167,Greenwich Village / Financial District,Manhattan,     3810.000000,        0.022626,        0.132483,03810,19,Greenwich Village / Financial District,Manhattan,     3810.000000,        0.025877,        0.132768,03810
36,03807,3603807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",G6120,S,       7959899,       2115051,+40.7552082,-073.9955156,Chelsea / Clinton / Midtown,Manhattan,     3807.000000,        0.066432,        0.142853,03807,16,Chelsea / Clinton / Midtown,Manhattan,     3807.000000,        0.065042,        0.147532,03807
36,03806,3603806,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,G6120,S,       7662386,       2830355,+40.7854533,-073.9747869,Upper West Side,Manhattan,     3806.000000,        0.049603,        0.142519,03806,15,Upper West Side,Manhattan,     3806.000000,        0.054600,        0.141150,03806
36,03802,3603802,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",G6120,S,       4374671,       2277248,+40.8178552,-073.9586194,Morningside Heights / Hamilton Heights,Manhattan,     3802.000000,        0.191893,        0.232980,03802,11,Morningside Heights / Hamilton Heights,Manhattan,     3802.000000,        0.193456,        0.232990,03802
36,03801,3603801,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",G6120,S,       7725638,       4570289,+40.8586492,-073.9333818,Washington Heights / Inwood,Manhattan,     3801.000000,        0.217605,        0.258205,03801,10,Washington Heights / Inwood,Manhattan,     3801.000000,        0.208199,        0.259932,03801
36,03803,3603803,NYC-Manhattan Community District 10--Central Harlem PUMA,G6120,S,       3747589,        222570,+40.8137240,-073.9429990,Central Harlem,Manhattan,     3803.000000,        0.243398,        0.261576,03803,12,Central Harlem,Manhattan,     3803.000000,        0.249035,        0.257960,03803
36,03809,3603809,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,G6120,S,       4525172,       2141976,+40.7178695,-073.9832425,Lower East Side / Chinatown,Manhattan,     3809.000000,        0.147769,        0.179499,03809,18,Lower East Side / Chinatown,Manhattan,     3809.000000,        0.144215,        0.179336,03809
36,03805,3603805,NYC-Manhattan Community District 8--Upper East Side PUMA,G6120,S,       5226559,       1642907,+40.7702321,-073.9527550,Upper East Side,Manhattan,     3805.000000,        0.025759,        0.119923,03805,14,Upper East Side,Manhattan,     3805.000000,        0.027837,        0.122739,03805
36,03804,3603804,NYC-Manhattan Community District 11--East Harlem PUMA,G6120,S,       5992108,       2215708,+40.7940929,-073.9327979,East Harlem,Manhattan,     3804.000000,        0.276683,        0.233412,03804,13,East Harlem,Manhattan,     3804.000000,        0.285111,        0.232469,03804
36,03808,3603808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",G6120,S,       4251186,       2674354,+40.7367176,-073.9674391,Stuyvesant Town / Turtle Bay,Manhattan,     3808.000000,        0.034382,        0.134452,03808,17,Stuyvesant Town / Turtle Bay,Manhattan,     3808.000000,        0.032640,        0.133906,03808
36,03901,3603901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",G6120,S,      63461207,      99354858,+40.5269069,-074.1472177,South Shore,Staten,     3901.000000,        0.024722,        0.131138,03901,20,South Shore,Staten,     3901.000000,        0.025748,        0.132006,03901
36,03902,3603902,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,G6120,S,      51295768,       5979732,+40.5908894,-074.1316998,Mid-Island,Staten,     3902.000000,        0.048879,        0.149430,03902,21,Mid-Island,Staten,     3902.000000,        0.053295,        0.149850,03902
36,03903,3603903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",G6120,S,      36427477,       8414433,+40.6290916,-074.1121956,North Shore,Staten,     3903.000000,        0.133516,        0.230354,03903,22,North Shore,Staten,     3903.000000,        0.130960,        0.230204,03903
36,03706,3603706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",G6120,S,       4069524,         27111,+40.8646506,-073.9032530,Kingsbridge Heights / Mosholu,Bronx,     3706.000000,        0.303708,        0.265486,03706,5,Kingsbridge Heights / Mosholu,Bronx,     3706.000000,        0.307758,        0.271786,03706
36,03702,3603702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",G6120,S,      17465415,         46711,+40.8901905,-073.8614272,Williamsbridge / Baychester,Bronx,     3702.000000,        0.195403,        0.321709,03702,1,Williamsbridge / Baychester,Bronx,     3702.000000,        0.193967,        0.320818,03702
36,03705,3603705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",G6120,S,      11321119,         61601,+40.8451839,-073.8873561,Morrisania / East Tremont,Bronx,     3705.000000,        0.419681,        0.253343,03705,4,Morrisania / East Tremont,Bronx,     3705.000000,        0.424526,        0.250387,03705
36,03708,3603708,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",G6120,S,       5140919,          3019,+40.8325863,-073.9214409,Highbridge / S. Concourse,Bronx,     3708.000000,        0.349548,        0.280116,03708,7,Highbridge / S. Concourse,Bronx,     3708.000000,        0.344949,        0.284388,03708
36,03704,3603704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",G6120,S,       9861030,             0,+40.8561725,-073.8525618,Pelham Parkway,Bronx,     3704.000000,        0.196006,        0.253290,03704,3,Pelham Parkway,Bronx,     3704.000000,        0.194308,        0.253428,03704
36,03710,3603710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",G6120,S,      12580140,       4324050,+40.8085373,-073.8954056,Mott Haven / Hunts Point,Bronx,     3710.000000,        0.434778,        0.250764,03710,9,Mott Haven / Hunts Point,Bronx,     3710.000000,        0.429263,        0.252986,03710
36,03709,3603709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",G6120,S,      11518016,       3003545,+40.8210174,-073.8574864,Soundview / Parkchester,Bronx,     3709.000000,        0.274192,        0.293544,03709,8,Soundview / Parkchester,Bronx,     3709.000000,        0.274433,        0.292945,03709
36,03701,3603701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",G6120,S,       8852001,       3432838,+40.8912378,-073.9101365,Riverdale / Kingsbridge,Bronx,     3701.000000,        0.132212,        0.220581,03701,0,Riverdale / Kingsbridge,Bronx,     3701.000000,        0.137329,        0.219896,03701
36,03703,3603703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",G6120,S,      24309610,      28908643,+40.8502191,-073.8050669,Throgs Neck / Co-op City,Bronx,     3703.000000,        0.113715,        0.249432,03703,2,Throgs Neck / Co-op City,Bronx,     3703.000000,        0.120859,        0.235608,03703
36,03707,3603707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",G6120,S,       3911139,         30714,+40.8528588,-073.9087902,University Heights / Fordham,Bronx,     3707.000000,        0.373917,        0.283691,03707,6,University Heights / Fordham,Bronx,     3707.000000,        0.381237,        0.280066,03707
36,04013,3604013,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,G6120,S,      10067437,       6602560,+40.6256693,-074.0316296,Bay Ridge,Brooklyn,     4013.000000,        0.058577,        0.160719,04013,35,Bay Ridge,Brooklyn,     4013.000000,        0.062226,        0.160382,04013
36,04012,3604012,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,G6120,S,      10764440,       4412262,+40.6526242,-074.0114430,Sunset Park,Brooklyn,     4012.000000,        0.164984,        0.249929,04012,34,Sunset Park,Brooklyn,     4012.000000,        0.163555,        0.254059,04012
36,04005,3604005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",G6120,S,      10375548,       5922458,+40.6719366,-074.0020800,Park Slope / Carroll Gardens,Brooklyn,     4005.000000,        0.064438,        0.158705,04005,27,Park Slope / Carroll Gardens,Brooklyn,     4005.000000,        0.068040,        0.160276,04005
36,04018,3604018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,G6120,S,       8813904,      21296455,+40.5763218,-073.9982325,Coney Island,Brooklyn,     4018.000000,        0.099362,        0.144318,04018,40,Coney Island,Brooklyn,     4018.000000,        0.102951,        0.143687,04018
36,04004,3604004,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,G6120,S,       8054350,        366645,+40.6914104,-073.9759312,Brooklyn Heights / Fort Greene,Brooklyn,     4004.000000,        0.118179,        0.187036,04004,26,Brooklyn Heights / Fort Greene,Brooklyn,     4004.000000,        0.116958,        0.194922,04004
36,04009,3604009,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,G6120,S,      35537753,      25092923,+40.6125858,-073.8941795,Flatlands / Canarsie,Brooklyn,     4009.000000,        0.093650,        0.309785,04009,31,Flatlands / Canarsie,Brooklyn,     4009.000000,        0.092224,        0.310294,04009
36,04016,3604016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",G6120,S,      11214257,       1502788,+40.5919606,-073.9475256,Sheepshead Bay / Gravesend,Brooklyn,     4016.000000,        0.057774,        0.135834,04016,38,Sheepshead Bay / Gravesend,Brooklyn,     4016.000000,        0.057738,        0.135219,04016
36,04017,3604017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,G6120,S,       9595836,        965211,+40.6059414,-073.9950743,Bensonhurst,Brooklyn,     4017.000000,        0.076130,        0.187919,04017,39,Bensonhurst,Brooklyn,     4017.000000,        0.076661,        0.184031,04017
36,04008,3604008,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,G6120,S,      15294067,       1034412,+40.6635674,-073.8765727,East New York / Starrett City,Brooklyn,     4008.000000,        0.263336,        0.287547,04008,30,East New York / Starrett City,Brooklyn,     4008.000000,        0.273200,        0.286961,04008
36,04014,3604014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",G6120,S,       8145974,             0,+40.6299310,-073.9826823,Borough Park,Brooklyn,     4014.000000,        0.085424,        0.159910,04014,36,Borough Park,Brooklyn,     4014.000000,        0.086822,        0.158337,04014
